Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Desomorphine	5.785249118157239	5.80405564700446	5.832102988350574	5.80327284258529	5.794701489045687	5.795262623401341	5.232105245286765	5.23363608567744	5.224700206470062	5.225001940090875	5.245465685095166	5.246326751840601
Axitinib	5.786651646468523	5.803219179112723	6.038861381621218	5.798211481561036	6.009879708477878	5.760285245676011	6.230144369989136	6.240457712650983	6.245034429281187	6.247975143970068	6.236239011401016	6.251724035662811
Piericidin C1	8.124896680899635	8.112698953681273	8.069830730783737	8.062950407601475	8.079849212768336	8.134515253198046	7.4953081023152	7.458354581081429	7.477156949008434	7.442344167004498	7.489300885374845	7.421105241542123
Lovastatin Acid	6.873028381250284	6.908851546194349	6.893704406123	6.924784826264562	6.866581484047413	6.8907390929597545	7.240037545703728	7.39140424185047	7.26885833086687	7.255687153629738	7.248923458989116	7.288437411294253
8-Hydroxyamoxapine	6.801752329954032	6.819408809879213	6.755109446803904	6.782567399801404	6.734153926245091	6.764551609838601	6.422646377732648	6.318213741002526	6.320526392327476	6.3269032075936655	6.117349845693076	6.323816835036388
arvenin III	6.722743614196368	6.726343351301618	6.709576192232015	6.746256003249363	6.662036476988471	6.723251140890279	5.827152722128755	5.7801803502290525	5.607627316274691	5.639198807555519	5.883110091339463	5.781501149276473
Pyrithiobac	6.227577383291845	6.323249579857946	6.22900231658684	6.313192188468533	6.219834364697264	6.290624810660518	7.527585671911179	7.504931533231228	7.534781336794165	7.502931564643461	7.520417596939615	7.504608204583206
Daphylloside	5.874313585970323	5.848698050446154	5.831799794512204	5.845912238392097	5.840143023065759	5.795971954045736	5.426002148516703	5.375667107729901	5.452306525523494	5.471868249715942	5.426865607441581	5.40132894926955
Isosilybin B	5.83378594387791	5.93123023658235	5.7536610332726825	5.752443804149887	5.710619983607512	5.801343499974676	4.95434705560282	5.001630203298872	4.9415743157777445	5.021160741389931	4.941599933833926	5.104874556530166
Dilauroylphosphatidic acid	6.404261007233517	6.40226394179398	6.414987282989418	6.355051306196421	6.4358337584523575	6.384851832500065	6.076010451822148	6.003642140901999	6.016804581859972	5.803394010476162	5.777548606209248	5.884462258023175
Chrodrimanin B	6.412490823789083	6.416586632469775	6.437533554238399	6.397340148133114	6.41010415601585	6.398699989059203	5.673626186224269	5.789146036368442	5.738021622512725	5.73194469150424	5.719478000058149	5.6648213420105815
beta1-Chaconine	5.7955706071756765	5.746970252172501	5.796216815636109	5.80947523282962	5.785657973989194	5.778127105467314	5.1818362411821495	4.979059920010009	5.222275934135256	5.109945683311303	5.171739513980259	5.038191462223988
Diflubenzuron	7.340026243022049	7.097927407977249	7.145546465894115	7.102912204225874	7.091511057357801	7.107372217666909	6.319630510005625	6.149511864159411	6.230688591556052	6.288538728045621	6.664362149115428	6.315156828824729
Hexacyclinic acid	6.283165653469552	6.2537950510766445	6.279002842420202	6.277031347357415	6.295330662859786	6.2435601192204775	5.8738724392073465	5.888923824236107	5.910847260492161	5.888020974830246	5.965422708609415	5.868480467177573
Psoromic Acid	6.870013425429796	6.952981484715814	6.982614196819264	6.923106908109196	6.849723949524289	6.573146186397789	5.970389481162819	5.985442786185021	5.910132593925125	5.929624615131205	5.967584236147085	5.955444240251079
Arthrobactin	6.588391622715261	6.589637790223579	6.510442440235098	6.52210929675225	6.581884799502761	6.6305681091162	7.295192001746882	7.3099634500044495	7.35126066744896	7.302229812489506	7.193518249135532	7.181915954048204
Verbaspinoside	5.14062851521497	5.123497701109365	5.149957770385908	5.143290365652109	5.151336719363016	5.169786066625409	4.4709568256006165	4.371018094255097	4.373354295070429	4.508153938918746	4.524694869547369	4.486274772615662
Fludarabine	7.026350756611537	7.018399033880474	6.998884367226609	6.991000995495834	6.975640182166928	6.985254435657812	6.41970630583987	6.356727728625161	6.546737737898779	6.350796488096851	6.397674361299911	6.325082628318665
(-)-Bilobalide	7.223984981152372	7.262096961054526	6.976232932810247	6.917968456437751	7.143785573759548	7.206921309258901	7.47082533996601	7.315057665345232	7.504562232236504	7.452184177417799	7.514665816149699	7.360122235990098
GD3 carbohydrate moiety	3.0	3.0	3.0	3.0	3.0	3.0	5.28450476921418	5.269036773770164	5.300362135653488	5.268677582982868	5.250244602802393	5.391851325060375
Cholylaspartic acid	5.421402771597426	5.474733601728362	4.798346952204136	5.058841762036595	5.434698470440079	5.3815507476448525	7.175687307711304	7.060474532124507	7.056172328164342	7.062619340031218	7.211640160399029	7.0673400632826375
Barringtogenol C	7.318566212545988	7.4171127727954	7.379783704834302	7.336161590472876	7.407428411327943	7.3667829545554	7.027480393492652	7.019374294827923	7.062552519433869	7.118194417817366	7.110363152893889	7.017973762967269
alanyl-gamma-glutamyl-lysyl-alanine	4.506641103133292	4.545001995398321	4.62981406961021	4.65539439521446	4.596686258304495	4.685663225256207	4.189999554904542	4.159946723343305	4.392502324059648	4.391877542779687	4.220676445228545	4.392176919480525
Varanic acid	7.309893382363801	7.517258892998107	7.2870478762671	7.60887281367773	7.582294624663092	7.309602395249453	6.845028695948343	6.979267307001779	7.033001151518417	7.144528937341047	6.835945159291357	6.945818801657533
1-Methylhypoxanthine	7.401681026695929	7.412172948486003	7.449394916465689	7.462046890118885	7.43258898865409	7.413637896279005	8.073230678829786	8.094473512883875	8.080170630829205	8.069312882612882	8.084522180200915	8.092130073765816
SERGLIFLOZIN A	5.44187636946202	5.208846154920211	5.430758460193542	5.477005146719715	5.631522316846688	5.660838398184066	7.058755057710551	7.07523812531191	7.076357561964425	7.078869313029338	7.091397539574652	7.05969435370526
Kaltostat	5.5048149499554055	5.474487053487634	5.4975394528756985	5.47957699119289	5.522908023389337	5.449232808395763	4.908922973118746	4.9638138928416415	5.068497175499529	5.280597658340444	5.278313434530309	5.295063841087567
Pteroside A	7.577580276285455	7.608044426891429	7.532283213297337	7.55410566006461	7.552119681990843	7.540667182399947	6.94888121559833	6.950158477777082	6.959714643748019	6.755161053631523	6.932675648070287	6.923028160287923
Dodemorph	8.854826139414996	8.835152367396791	8.834521575968015	8.836329884950038	8.840238649544887	8.832305558420734	8.526161419613866	8.50818034339762	8.55413911701979	8.529898295727032	8.5313598750107	8.518988416181642
Tenuazonic Acid	6.947854672373352	6.98124928476344	6.952936041506225	6.966908894929039	6.97321381595463	6.975360581315158	6.448941367352017	6.439585456468301	6.431639698421552	6.45567289455975	6.452849480541755	6.358726094103136
Ala-Ser zwitterion	6.383757089612256	6.371974655140178	6.394492679113844	6.444005752657235	6.409426545611534	6.341634285693717	7.073063427651473	7.103467661182096	7.099267305606836	7.082189288021862	7.119054344469822	7.088861343343189
Pentylenetetrazole	6.912598880063207	6.915285316374616	6.916037628481639	6.909513136459035	6.909506989176931	6.904767670604924	6.245509340147109	6.259288800864227	6.263237352065394	6.232170208704244	6.2695351048593775	6.251040967850538
Acetophenone	5.882551436470475	5.876635173325233	5.782404313894587	5.805103567074394	5.851434531265457	5.753253530798438	7.459912659602415	7.454751031483389	7.459454832505181	7.480027035279836	7.462327421648638	7.469271052379452
